amount,date,category,description/merchant,expense_type
36.72,2023-05-01,Transportation,Ride Sharing App,need
173.5,2023-05-01,Education,Bookstore,want
31.88,2023-05-01,Dining Out,Fast Food Z,want
386.61,2023-05-02,Travel,Train Ticket,want
190.3,2023-05-02,Shopping,Online Electronics,want
29.47,2023-05-03,Transportation,Bus Pass Kiosk,need
41.22,2023-05-03,Groceries,Supermarket A,need
42.42,2023-05-04,Transportation,Petrol Station,need
22.46,2023-05-04,Dining Out,Pizzeria Bella,want
31.33,2023-05-06,Dining Out,Sushi Bar,want
117.14,2023-05-06,Education,Online Course,need
100.79,2023-05-06,Groceries,Grocery Store B,need
13.15,2023-05-06,Personal Care,Pharmacy,need
99.12,2023-05-06,Entertainment,Concert Venue,want
125.64,2023-05-07,Health,Gym Membership,need
200.44,2023-05-07,Education,Bookstore,want
106.69,2023-05-07,Health,Gym Membership,need
65.18,2023-05-07,Health,Doctor Visit,need
14.83,2023-05-07,Dining Out,Lunch Cafe,want
18.52,2023-05-08,Transportation,Ride Sharing App,need
14.48,2023-05-08,Transportation,Bus Pass Kiosk,need
11.73,2023-05-08,Personal Care,Pharmacy,need
13.0,2023-05-09,Shopping,Clothing Store Sale,need
133.8,2023-05-10,Utilities,Water Bill,need
164.18,2023-05-10,Shopping,Home Decor,want
66.98,2023-05-11,Travel,Hotel Stay,want
47.77,2023-05-11,Personal Care,Haircut,want
206.86,2023-05-12,Education,Bookstore,want
58.15,2023-05-12,Transportation,Bus Pass Kiosk,need
114.39,2023-05-13,Health,Doctor Visit,need
27.83,2023-05-14,Personal Care,Haircut,want
78.34,2023-05-14,Education,Online Course,need
27.7,2023-05-15,Shopping,Home Decor,want
79.36,2023-05-15,Utilities,Electricity Bill,need
74.07,2023-05-15,Education,Bookstore,want
118.53,2023-05-15,Shopping,Online Electronics,want
47.33,2023-05-16,Shopping,Home Decor,want
29.8,2023-05-16,Health,Therapy Session,need
29.27,2023-05-16,Transportation,Petrol Station,need
32.19,2023-05-17,Dining Out,Pizzeria Bella,want
104.06,2023-05-19,Utilities,Water Bill,need
29.33,2023-05-19,Transportation,Petrol Station,need
220.14,2023-05-19,Travel,Hotel Stay,want
97.36,2023-05-20,Health,Gym Membership,need
206.15,2023-05-20,Travel,Train Ticket,want
39.78,2023-05-21,Utilities,Water Bill,need
50.21,2023-05-21,Transportation,Ride Sharing App,need
38.88,2023-05-22,Personal Care,Spa Center,want
145.36,2023-05-22,Health,Gym Membership,need
32.73,2023-05-22,Personal Care,Pharmacy,need
47.0,2023-05-23,Groceries,Local Supermarket,need
296.0,2023-05-23,Travel,Flight Booking,want
108.65,2023-05-26,Groceries,Grocery Store B,need
10.01,2023-05-27,Entertainment,Streaming Service Subscription,want
23.7,2023-05-27,Dining Out,Fast Food Z,want
90.96,2023-05-28,Entertainment,Cinema Tickets,want
78.12,2023-05-30,Personal Care,Spa Center,want
43.68,2023-05-30,Utilities,Internet Provider,need
114.29,2023-05-30,Utilities,Electricity Bill,need
33.1,2023-05-30,Dining Out,Coffee Shop Downtown,want
145.7,2023-05-31,Education,Workshop Fee,need
26.71,2023-06-01,Groceries,Local Supermarket,need
50.34,2023-06-01,Groceries,Supermarket A,need
14.36,2023-06-02,Transportation,Petrol Station,need
178.84,2023-06-02,Shopping,Home Decor,want
44.01,2023-06-02,Transportation,Ride Sharing App,need
100.44,2023-06-03,Health,Therapy Session,need
370.97,2023-06-03,Travel,Train Ticket,want
26.06,2023-06-04,Transportation,Ride Sharing App,need
98.24,2023-06-04,Health,Gym Membership,need
24.3,2023-06-04,Personal Care,Haircut,want
38.87,2023-06-04,Utilities,Electricity Bill,need
74.46,2023-06-05,Groceries,Supermarket A,need
136.26,2023-06-05,Education,Workshop Fee,need
238.09,2023-06-05,Education,Workshop Fee,need
43.74,2023-06-06,Utilities,Internet Provider,need
91.27,2023-06-07,Entertainment,Cinema Tickets,want
175.81,2023-06-07,Education,Online Course,need
167.45,2023-06-08,Shopping,Bookshop,want
51.08,2023-06-09,Utilities,Electricity Bill,need
24.26,2023-06-09,Transportation,Petrol Station,need
37.47,2023-06-10,Utilities,Water Bill,need
22.34,2023-06-11,Dining Out,Pizzeria Bella,want
15.55,2023-06-11,Dining Out,Lunch Cafe,want
42.26,2023-06-11,Groceries,Supermarket A,need
27.32,2023-06-11,Dining Out,Coffee Shop Downtown,want
104.43,2023-06-11,Utilities,Water Bill,need
47.91,2023-06-12,Entertainment,Streaming Service Subscription,want
27.92,2023-06-13,Dining Out,Pizzeria Bella,want
127.52,2023-06-14,Education,Bookstore,want
187.35,2023-06-15,Travel,Hotel Stay,want
226.6,2023-06-15,Education,Workshop Fee,need
435.17,2023-06-15,Travel,Hotel Stay,want
22.58,2023-06-15,Dining Out,Lunch Cafe,want
62.49,2023-06-15,Groceries,Supermarket A,need
119.6,2023-06-15,Groceries,Grocery Store B,need
49.55,2023-06-16,Health,Therapy Session,need
17.13,2023-06-16,Personal Care,Haircut,want
58.46,2023-06-17,Personal Care,Pharmacy,need
95.37,2023-06-17,Shopping,Online Electronics,want
105.34,2023-06-18,Utilities,Water Bill,need
166.72,2023-06-18,Travel,Flight Booking,want
41.25,2023-06-18,Groceries,Local Supermarket,need
18.6,2023-06-19,Personal Care,Haircut,want
89.36,2023-06-19,Health,Gym Membership,need
56.63,2023-06-19,Groceries,Supermarket A,need
46.13,2023-06-21,Transportation,Ride Sharing App,need
181.63,2023-06-21,Shopping,Clothing Store Sale,need
80.89,2023-06-21,Entertainment,Cinema Tickets,want
24.31,2023-06-22,Dining Out,Pizzeria Bella,want
23.51,2023-06-23,Dining Out,Fast Food Z,want
56.98,2023-06-23,Entertainment,Concert Venue,want
9.64,2023-06-23,Dining Out,Coffee Shop Downtown,want
14.83,2023-06-24,Transportation,Ride Sharing App,need
43.68,2023-06-25,Entertainment,Cinema Tickets,want
120.31,2023-06-25,Travel,Flight Booking,want
59.54,2023-06-25,Education,Workshop Fee,need
21.31,2023-06-25,Transportation,Ride Sharing App,need
62.85,2023-06-27,Personal Care,Spa Center,want
256.34,2023-06-27,Travel,Hotel Stay,want
98.55,2023-06-28,Utilities,Electricity Bill,need
58.31,2023-06-28,Travel,Flight Booking,want
44.02,2023-06-29,Transportation,Bus Pass Kiosk,need
175.97,2023-06-30,Shopping,Home Decor,want
10.32,2023-06-30,Entertainment,Cinema Tickets,want
14.72,2023-06-30,Entertainment,Cinema Tickets,want
130.56,2023-06-30,Health,Doctor Visit,need
49.9,2023-06-30,Entertainment,Streaming Service Subscription,want
125.13,2023-06-30,Health,Therapy Session,need
47.31,2023-07-01,Groceries,Grocery Store B,need
164.04,2023-07-01,Shopping,Home Decor,want
70.61,2023-07-01,Health,Therapy Session,need
131.04,2023-07-01,Shopping,Bookshop,want
41.4,2023-07-02,Groceries,Local Supermarket,need
119.38,2023-07-04,Utilities,Internet Provider,need
430.51,2023-07-04,Travel,Hotel Stay,want
16.35,2023-07-05,Entertainment,Streaming Service Subscription,want
108.78,2023-07-05,Utilities,Electricity Bill,need
79.71,2023-07-05,Personal Care,Haircut,want
109.67,2023-07-06,Education,Bookstore,want
95.46,2023-07-06,Entertainment,Streaming Service Subscription,want
30.99,2023-07-06,Shopping,Home Decor,want
167.4,2023-07-07,Shopping,Online Electronics,want
11.38,2023-07-07,Personal Care,Spa Center,want
165.05,2023-07-07,Shopping,Bookshop,want
22.57,2023-07-08,Health,Therapy Session,need
194.65,2023-07-08,Travel,Hotel Stay,want
76.3,2023-07-08,Education,Online Course,need
12.31,2023-07-08,Transportation,Ride Sharing App,need
59.93,2023-07-09,Groceries,Grocery Store B,need
69.53,2023-07-09,Travel,Hotel Stay,want
26.16,2023-07-09,Personal Care,Pharmacy,need
40.1,2023-07-09,Groceries,Supermarket A,need
