amount,date,category,description/merchant
60.87,2023-05-01,Groceries,Local Supermarket
11.66,2023-05-01,Shopping,Bookshop
25.96,2023-05-01,Shopping,Online Electronics
19.46,2023-05-01,Dining Out,Fast Food Z
17.02,2023-05-01,Dining Out,Sushi Bar
220.56,2023-05-02,Travel,Hotel Stay
55.89,2023-05-03,Health,Doctor Visit
19.73,2023-05-05,Dining Out,Fast Food Z
132.56,2023-05-06,Shopping,Home Decor
92.52,2023-05-06,Health,Gym Membership
25.23,2023-05-06,Dining Out,Pizzeria Bella
97.1,2023-05-07,Health,Therapy Session
63.56,2023-05-07,Utilities,Water Bill
458.21,2023-05-07,Travel,Train Ticket
48.63,2023-05-07,Utilities,Internet Provider
21.92,2023-05-09,Dining Out,Lunch Cafe
33.9,2023-05-09,Transportation,Petrol Station
33.8,2023-05-09,Personal Care,Spa Center
134.81,2023-05-10,Shopping,Bookshop
44.63,2023-05-13,Health,Therapy Session
86.22,2023-05-13,Entertainment,Concert Venue
36.39,2023-05-13,Utilities,Internet Provider
105.78,2023-05-13,Groceries,Local Supermarket
34.3,2023-05-14,Personal Care,Haircut
140.0,2023-05-15,Health,Therapy Session
18.47,2023-05-15,Dining Out,Coffee Shop Downtown
29.58,2023-05-15,Personal Care,Spa Center
103.7,2023-05-15,Utilities,Water Bill
41.47,2023-05-15,Entertainment,Streaming Service Subscription
31.39,2023-05-16,Utilities,Electricity Bill
408.37,2023-05-16,Travel,Flight Booking
23.86,2023-05-18,Entertainment,Concert Venue
32.0,2023-05-18,Transportation,Ride Sharing App
12.49,2023-05-19,Dining Out,Lunch Cafe
229.5,2023-05-20,Travel,Hotel Stay
38.8,2023-05-20,Health,Gym Membership
102.08,2023-05-20,Groceries,Local Supermarket
66.91,2023-05-20,Personal Care,Pharmacy
118.87,2023-05-20,Health,Gym Membership
26.47,2023-05-21,Personal Care,Haircut
15.42,2023-05-21,Transportation,Ride Sharing App
157.07,2023-05-26,Travel,Hotel Stay
14.1,2023-05-26,Entertainment,Cinema Tickets
106.04,2023-05-27,Health,Gym Membership
28.32,2023-05-27,Transportation,Petrol Station
270.79,2023-05-27,Travel,Hotel Stay
16.04,2023-05-28,Dining Out,Fast Food Z
